"survey_type","province","gender","birth","nationality","religion","religion_freq","edu","edu_status","income","political","floor_area","property_0","property_1","property_2","property_3","property_4","property_5","property_6","property_7","property_8","height_cm","weight_jin","health","health_problem","depression","hukou","hukou_loc","media_1","media_2","media_3","media_4","media_5","media_6","leisure_1","leisure_2","leisure_3","leisure_4","leisure_5","leisure_6","leisure_7","leisure_8","leisure_9","leisure_10","leisure_11","leisure_12","socialize","relax","learn","social_neighbor","social_friend","socia_outing","equity","class","class_10_before","class_10_after","class_14","work_exper","insur_1","insur_2","insur_3","insur_4","family_income","family_m","family_status","house","car","son","daughter","minor_child","marital","marital_1st","s_birth","marital_now","s_edu","s_political","s_hukou","s_income","s_work_exper","f_birth","f_edu","f_political","f_work_14","m_birth","m_edu","m_political","m_work_14","status_peer","status_3_before","view","inc_ability","inc_exp","trust_1","trust_2","trust_3","trust_4","trust_5","trust_6","trust_7","trust_8","trust_9","trust_10","trust_11","trust_12","trust_13","neighbor_familiarity","public_service_1","public_service_2","public_service_3","public_service_4","public_service_5","public_service_6","public_service_7","public_service_8","public_service_9","invest"
1,12,1,1959,1,1,1,11,4,20000,1,45,0,1,0,0,0,0,0,0,0,176,155,3,2,5,5,2,4,2,5,5,4,3,1,4,3,1,2,3,4,1,4,5,4,1,2,4,3,3,3,2,3,3,3,3,1,1,1,1,1,2,60000,2,2,1,2,1,0,0,3,1984,1958,1984,6,1,5,40000,5,1933.102848237,4,4,1,1933.69001481664,4,1,1,3,2,4,3,50000,4,2,2.75720598589544,2.90352351244094,5,3,2,3,4,3,2.96185283497689,4,1,4,50,60,50,50,30,30,50,50,50,1
2,18,1,1992,1,1,1,12,4,20000,1,110,0,0,0,0,1,0,0,0,0,170,110,5,4,3,1,1,2,2,1,3,5,1,2,3,4,3,5,4,3,2,3,4,5,1,2,4,3,6,2,1,3,6,4,8,5,1,1,1,1,1,40000,3,4,1,2,0,0,0.971565462905073,1,2010.21065262983,1987.03860476111,2010.91206408496,8.87294037277463,1.67142815485243,1.09406739150784,16581.76811396,1.24680469769444,1972,3,1,2,1973,3,1,2,1,1,4,2,50000,5,4,4,3,5,3,3,3,2,3,3,3,2,3,90,70,70,80,85,70,90,60,60,1
2,29,2,1967,1,0,3,4,4,2000,1,120,0,1,1,0,0,0,0,0,0,160,122,4,4,5,1,1,2,2,2,5,1,3,1,4,4,3,5,4,4,2,3,5,5,5,3,4,2,2,5,2,4,5,4,6,3,2,1,1,2,2,8000,3,3,1,2,0,2,1,3,1990,1968,1990,3,1,1,6000,3,1937.20778905746,1,1,2,1940.05369498981,1,1,2,2,1,4,2,80000,3,3,3,3,4,3,3,3,3,3,2.98930183974061,3,1,4,90,80,75,79,80,90,90,90,75,1
2,10,2,1943,1,1,1,3,4,6420,1,78,0,0,0,1,0,0,0,0,0,163,170,4,4,4,1,2,2,1,1,5,1,1,1,5,2,4,5,4,5,1,1,5,5,5,2,4,4,1,6,1,4,5,5,7,2,4,2,2,2,2,12000,3,3,1,1,1,4,0,7,1960,1942.39461376546,1962.28394771818,2.98570234831329,1.05734644718619,1.09115384917075,15885.1076310219,3.07750532389246,1916.12637101674,14,1,2,1921.51782185437,1,1,2,2,1,3,2,10000,3,3,4,3,5,3,3,5,4,3,3,3,2,3,100,90,70,80,80,90,90,80,80,1
1,7,2,1994,1,1,1,12,1,39266.0734499604,2,70,0,0,0,0,1,0,0,0,0,165,110,5,5,3,2,3,1,3,4,2,5,5,3,3,3,2,4,4,3,5,2,5,5,1,4,3,4,7,5,3,2,1,1,1,4,6,1,2,2,2,80640.5601553985,4,3,1,1,0,0,0.971586075349893,1,2010.21065262983,1987.03860476111,2010.91206408496,10.3124102873246,1.16962696961978,1.97985108785736,24301.1056911305,1.32084000425277,1970,6,1,10,1972,4,1,15,3,2,3,2.61877236071107,2e+05,4,3,3,3,5,5,3,4,3,3,3,3,2,2,50,50,50,50,50,50,50,50,50,1
2,18,1,1946,1,1,1,2,3.4427035903423,5000,1,300,0,1,1,0,0,0,0,0,0,172,140,5,5,4,1,1,1,1,4,4,1,1,1,5,4,5,5,4,4,4,3,5,3,5,3,3,2,3,4,1,4,8,1,8,1,4,1,1,2,2,5000,2,3,1,2,2,1,0,3,1988,1949,1988,1,1,1,0,4,1917.53784175614,2,1,2,1917,1,1,2,3,1,4,3,10000,4,3,4,3,5,4,3,3,4,3,3,3,3,4,90,90,90,90,90,90,80,90,90,1
1,10,1,1963,1,1,1,4,4,26027.8691498169,4,89,0,1,0,0,0,0,0,0,0,160,120,2,2,2,2,2,2,2,2,5,1,2,1,5,5,5,5,4,4,4,4,4,4,5,1,3,1,5.1420857617875,5.11762698157169,1,4,2,2,3,2,1,1,1,2,2,51788.8472724258,3,2,1,2,1,0,0,3,1987,1963,1987,4,1,2,20849.0113164892,1,1920,3,1,1,1905,1,1,15,3,2,4,3,50000,4,3,4,4,4,3,3,3,4,3,3,3,3,4,80,80,50,70,60,50,60,80,80,1
1,11,1,1959,1,0,8,4,4,26027.8691498169,1,130,0,0,1,0,0,0,0,0,0,176,140,3,5,5,2,1,3,1,3,4,1,1,1,5,5,3,5,4,4,5,4,4,5,5,3,3,3,4,3,1,4,2,1,2,1,5,1,1,2,2,51788.8472724258,2,3,1,2,1,0,0,3,1979,1959,1979,4,1,2,20849.0113164892,4,1932.36817050032,1,1,2,1932.81666692409,1,1,3.77405780517553,2,2,4,2.40579140679853,166609.946808086,5,5,5,5,5,5,5,5,5,5,5,5,5,4,70,70,70,70,70,70,80,70,70,1
2,28,1,1952,1,1,1,3,4,1600,1,36,0,1,0,0,0,0,0,0,0,175,95,2,2,2,1,1,1,1,1,3,1,1,2,5,4,5,5,4,4,5,4,5,5,5,2,2,1,5,6,2,4,3,3,5,2,2,1,1,2,2,1600,1,2,1,2,0,0,0.123769513415606,1,1975.44093297145,1950.86756214361,1974.8219592377,2.98570234831329,1.05455205983293,1.09406739150784,15885.1076310219,2.90767249714474,1924,1,1,2,1926,1,1,2,3,2,3,3,5000,3,2,2,4,5,5,5,2,4,4,4,4,2,5,82,70,60,82,84,85,86,87,85,1
2,24,1,1985,1,1,1,3,2,60000,1,80,0,0,0,0,1,0,0,0,0,172,140,4,5,4,1,1,1,1,1,4,4,1,1,5,3,5,5,3,4,5,5,5,5,1,3,3,2,5,5,6,4,5,5,6,3,5,1,2,2,2,60000,5,3,1,1,0,2,2,3,2011,1991,2011,7,1,1,0,5,1952,14,1,2,1962,1,1,2,2,2,3,2,120000,4,3,4,3,3,3,3,4,3,3,2.94932180836135,3,2,5,60,60,60,60,60,60,60,60,60,1
